class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
B.xyl(T),0.0002483212661511435,0.016965333846875624,1.3776002204160355e-05,5.406373438487297e-05,0.01890495482156252,0.00011461053574091383,3.308905886743182e-05,0.004262264235310325,9.70417820300682e-05,0.00014577910003718854,0.8150407109459197,0.0003856352464241096,0.00198284661684129,0.01677381708822232,0.0008761122518822724,0.00012272573865553955,0.010595949951957919,0.00043335220036790713,0.0004935292827374423,0.0031831886892392937,7.365741157867127e-05,2.0316841137539937e-05,0.002580312947904545,2.8276740202699466e-05,0.0009211096662332032,0.013721688837522563,0.000760546642899584,4.095134189080315e-05,0.014864522932254067,1.0640108954715695e-05,4.4306064630510205e-05,0.0038492349595449812,0.0001659613310098747
B.xyl,1.598261091931978e-05,0.002585581168266548,0.07522661440630385,0.0,0.0007066383087034471,0.04199432342730285,5.676754258984883e-06,6.41025641025641e-05,0.03431187360615945,2.0214782059380922e-05,0.0006743783074977755,0.9486774158837661,0.0,0.00021464451041915827,0.04739125829396641,6.132975167583547e-06,7.199424046076315e-05,0.0023818187832875715,0.00017191819444635465,0.00013616557734204792,0.009813191369781737,8.169333954202714e-06,0.0,0.0007144934325675535,2.485151221451825e-05,5.952735281862015e-06,0.015112061669450661,1.291889517608454e-05,3.0162500471289072e-05,0.0552732203390195,8.54000136640022e-06,6.265664160401002e-05,0.004380024315952802
C.ele(H),0.013893495104632154,0.001456734436486103,1.6064127998971896e-05,0.011429105152881513,0.004531195538515162,2.269117313365101e-05,0.0066203608188341,0.0019584730309981768,0.0,0.028515755100453972,0.014904486058694114,7.049402210692533e-06,0.8801118133952976,0.0021592373617879993,1.9305019305019306e-05,0.013096896976708091,0.0003971756398940865,1.1937732785789323e-05,0.0044009488830474165,0.0,1.0055304172951232e-05,0.00033042084631048306,2.1461415058401877e-05,0.0,0.0005069245898980068,0.01385477196166656,0.0,0.0033236478234340843,0.012185017302724569,0.0,0.0007180898809167614,0.0009030189687416512,5.496468518976557e-05
C.ele(T),2.8939707014406186e-06,0.01283967596120732,0.00011891102946817521,5.061010481352707e-06,0.006400997423647517,0.0011783333947048644,0.0,0.0005644705555906048,2.3637309128728787e-05,3.976143141153081e-06,0.006938934970343527,0.00041897100720630144,0.001015032121374526,0.9041404750999655,0.004208898623784286,6.114412894073912e-06,0.0050849566335486145,0.0014411314889835121,0.0,0.0018378980972222042,0.0019206083232893355,2.251567653979083e-05,0.0009413268875626015,0.0004431661963678461,4.919177906988184e-06,0.0012968113857405306,0.000834098453753577,6.416920135011999e-06,0.003017687551475327,0.00020585878277583556,8.630212648439658e-06,2.8182907066863944e-05,1.203804020705429e-05
C.ele,5.801204330018912e-06,0.0002876225465726893,0.012341668337780828,0.0,0.0002865395195305336,0.007739393370686669,0.0,9.708737864077669e-05,0.00433629501672777,0.0,0.0027469564970629134,0.050399464921594916,0.00011026056388985498,0.01172741158540612,0.9037135550065433,0.00015319067451768876,0.0004453234417476264,0.008890469416785205,7.952216017530217e-05,5.583472920156338e-05,0.006265509789859047,1.235941169200346e-05,0.0,0.00045684629863128844,8.444376889429329e-06,0.00020370083680303758,0.02305924627525792,7.201912828047129e-06,0.0006417874970287617,0.04937509013965758,0.0,0.0,0.001425739045200383
M.ent(H),0.06020923246039571,0.00034466594976149115,6.844861220438756e-05,0.08810869430611402,7.260640872567685e-05,9.792880575821377e-05,0.013445105211401541,0.0022751015670342428,0.00017482517482517485,0.04386069519326129,0.0017460644262139303,5.457085479786956e-06,0.004349591295404103,7.607455306200075e-05,5.26592943654555e-06,0.6663557691157251,0.0002492099893806088,0.001527286941669313,0.06888380157579546,3.8904450669156547e-05,1.1172560192168034e-05,0.06227894753573105,2.7495944348208637e-05,9.814826931885102e-05,0.005962711228583108,0.00035666716822987195,3.2444357926156646e-05,0.020504329215512155,0.0006192698600696282,6.5359477124183e-05,0.017047716745556375,0.0038791609649017045,0.0002418118159893707
M.ent(T),0.0002440140308067714,0.000912249095059101,4.193888107065303e-05,0.00015786612887897216,0.02516769362249067,0.002778421925055611,0.0,0.0002596053997923157,8.627197239296884e-05,0.00011596000310053485,0.007340889224683595,2.2866550809475898e-05,0.00013862141637295157,0.0041446560520290755,0.0023186119873817037,8.395644759281125e-05,0.8181293836894541,0.02012653112505499,0.00036005519284805303,0.035436536109118844,0.0008345955302772714,6.812065361356389e-05,0.09304729680517611,0.00109175073147299,0.0,0.005285061552846609,0.00016897600540723216,1.9701133800250203e-05,0.024555416910276177,0.0006405459885752078,4.614816637952252e-05,0.012479086024873815,0.003278110251544787
M.ent,0.0001513940872198158,0.002794115823540839,0.00263443992846864,0.0002913139879266536,0.0022843567251461987,0.07291568849041508,6.978318364840441e-06,0.0006368250180150164,0.012440913562120577,0.00032262129804662887,0.0014069559121358468,0.00234300102662019,2.550499897980004e-05,0.0006402048655569783,0.008207726409119695,0.001119742459234376,0.03359467007821965,0.958966924352607,0.0003292966492385855,0.0013817938146769545,0.07842362764056261,0.0003462703794546241,0.009829128470301067,0.13700756178214085,3.3489057450478054e-05,0.0001858131086567648,0.009958239805989949,3.406574689150059e-05,0.0030500590948949638,0.02977409745798463,0.00037413719381833733,0.0016118421052631574,0.06664787090779649
M.gra(H),0.0440012493033732,0.0010912971320953205,3.756135020533538e-05,0.043684905403212924,0.0005434928473657371,0.00028662534484611807,0.009632768056879758,0.00231839258114374,0.00041374973106267485,0.031319698498140376,0.005269073022638041,2.672796279467579e-05,0.0010375630238477376,0.0,4.721435316336166e-06,0.06960041340599633,0.0003354797670233207,0.00033333777783703785,0.6014335622001034,0.0008680555555555555,1.2355288681320039e-05,0.08288862776362566,0.00016801414007002827,0.0007563025210084034,0.019751540336525805,0.0025884425307041146,2.4126616483304383e-05,0.024204181115571332,0.00048688500286117684,1.8371546149323924e-05,0.017315857936721083,0.002905801976161715,0.000636378812479017
M.gra(T),3.892443987731016e-06,0.006328355756955544,2.0910003345600535e-05,0.0,0.018668652528785523,0.0022527948422326615,0.0,0.0008886450905101482,0.00021846327086258622,2.1505376344086024e-05,0.015109666626401948,0.000181285531964265,2.567591855598634e-05,0.0016903404932990685,0.00011283497884344147,0.0,0.07015485987652605,0.004503415794509916,0.00010059856144057139,0.797620070598678,0.005210668843622549,1.1998176277205863e-05,0.048455827899314755,0.0029026736427223564,0.0006528753493692468,0.008224573874371088,0.0007835612057247941,1.954747593217026e-05,0.008374527050267753,0.0005033991119204619,2.717649776473306e-05,0.0012405490714233283,0.001096580294045975
