class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe,H.sp(H),H.sp(T),H.sp,M.ams(H),M.ams(T),M.ams
B.xyl,0.0,0.003932547550055557,0.14454015004167828,0.0,0.00037734069147681715,0.041861664378961716,0.0,2.3430727055460532e-05,0.06223163657233235,0.0,0.00046420466267794514,0.98875532990352,0.0,7.215007215007214e-05,0.14628327566854385,0.0,2.955082742316785e-05,0.0,0.0,3.192848020434227e-05,0.002851409863765973,0.0,9.12498679940962e-05,0.00040221216691804925,0.0,2.394406666028158e-05,0.017857142857142856,0.0,0.00012861368735441644,0.08004734207238537,0.0,0.0,0.009439876101626166,0.0,0.0,0.0031792387871880713,6.47836227001814e-05,0.0,0.006033430887296529
C.ele(H),0.0173203339070866,9.376465072667604e-06,1.805445222791941e-05,0.006057337436418048,0.0,0.0,0.00601541226930538,0.0005556241511297691,0.0,0.03362184549213232,0.0010572836269057537,0.0,0.9520681732482604,0.0,0.0,0.005178365937859609,0.0,0.0,0.0010790032707286643,2.6968716289104636e-05,0.0,0.0001372448104306056,2.0889473794155123e-05,0.0,0.0011643953769190963,0.0036580556595026655,0.0,0.001977150111075849,0.001338146348882897,0.0,0.0005775982956031361,0.0026367288083221753,2.910615012952237e-05,0.00861426588399779,0.0,0.0,0.04383274099432968,0.0,0.0
C.ele(T),0.0,0.02524276752839169,9.04591002793903e-05,0.0,0.009465791876914228,0.0,0.0,0.0006048996874684949,0.0,0.0,0.008041742046507525,1.4181983208531882e-05,0.0,0.9167995842060307,0.0008160488978760981,0.0,0.01235796883636413,0.0,0.0,0.008960027100271002,2.6497085320614733e-05,0.0,0.0049382716049382715,0.00012365964864505182,0.0,0.0,0.0,0.0,0.0001346200493624084,0.00013271400132714,0.0,0.0,2.7418293485413466e-05,2.0012808197246236e-05,0.001611073356326073,0.00036916632978484476,0.0,0.045941962406908524,0.00035385704175513094
C.ele,0.0,0.002389346699515759,0.030274432999661493,0.0,0.0002075454293884328,0.006581959706959707,0.0,1.901212973877334e-05,0.005028011204481793,0.0,0.0006203081285683541,0.06995465717567634,0.001025509550057685,0.000769582352654453,0.9160225952655858,0.0,0.002832356871209785,0.0069538056995445945,0.0,0.0017114695340501793,0.007686001229760198,0.0,0.000680900976123735,0.0005792364422470236,0.0,0.0,0.0268640350877193,0.0,0.0002451055485768559,0.07703592913008889,0.0,0.0,0.008296766104944873,0.0,0.00015775981068822718,0.012120352010687726,0.001988405981861771,0.0027359017308766047,0.05263376374997624
M.ent(H),0.07805199218418146,3.859215807347947e-05,0.0,0.08692866554059074,0.0,0.0,0.0090191625856657,0.00038496095099868686,0.0,0.054440982666080114,0.00014119931165335568,0.0,0.013106356431619382,0.0,0.0,0.8721598331123176,0.0,0.0,0.12716301466795527,7.716049382716049e-05,0.0,0.10570496342895973,0.0,0.0,0.0036385688295936932,0.00011630912380460066,0.0,0.011829569007184581,0.00017377138202552265,0.0,0.016292345527495575,0.0048770575086364565,3.334889615153738e-05,0.0010432968179447052,0.0,0.0,0.0,0.0,0.0
M.ent(T),0.0,0.0015189873417721519,0.0,0.0,0.0672511460310449,0.0,0.0,2.3430727055460532e-05,0.0,0.0,0.008056061285744456,0.0,0.0,0.03819709702062643,0.0008611599297012303,0.0,0.9696481380045131,5.2684263210579e-05,2.946896917545824e-05,0.050772399487207256,0.0,0.0,0.18759161922723705,4.901960784313725e-05,0.0,0.0004492362982929021,0.0,0.0,0.0075168118778052165,0.0,0.0,0.00682237325732857,0.0,0.0,0.012849341471249599,0.0,0.0,0.00024067388688327318,0.0
M.ent,0.0,0.0027638766231642296,0.00019912953706654096,0.0,0.0003566616469842277,0.04441844343392303,0.0,0.0,0.003176966989327377,0.0,0.0004084863029436544,0.00042616663115278077,0.0,0.0,0.021963110447431006,0.0,0.029243229931749694,0.9978662873399716,0.0,0.0008734672086556038,0.06893319708250138,0.0,0.002036400661830215,0.14364173845654668,0.0,0.0,0.0003248528458796846,0.0,2.315886984715146e-05,0.01125807743158417,2.7753878604534982e-05,7.5947444368497e-05,0.0556677985752931,8.960573476702509e-05,0.00024906600249066,0.031091264177190527,0.0,0.0,0.0018939393939393938
M.gra(H),0.024702643049147682,2.825497287522604e-05,0.0,0.021849785754709354,0.0,0.0,0.006884312945568033,0.00016418522332990032,0.0,0.015013621826509258,0.0011459852631977726,0.0,1.1463683052090975e-05,0.0,0.0,0.09600850003123645,0.0,0.0,0.812798930826404,0.0002777777777777778,0.0,0.15404473842767377,0.0,0.0,0.010778022350713616,0.0005073357835320852,0.0,0.016967134216273643,4.9678332795151396e-05,0.0,0.061880930692236304,0.007175931115916772,6.313529894564051e-05,0.00022401433691756272,0.0,7.34861845972957e-05,0.0,0.0,0.0
M.gra(T),0.0,0.0022472940744817467,0.00040577828274630736,0.0,0.040459630570496584,8.122157244964262e-05,0.0,0.0,0.0,0.0,0.0011221789667641069,2.39785152503357e-05,0.0,0.017870036101083037,0.0035188509874326747,0.0,0.1318422881653135,0.0,0.0,0.9265578366326099,0.0,0.0,0.09480484442804298,5.7501006267609686e-05,0.00099873629285394,0.0006874952257275991,0.0,6.459531038046638e-05,0.001790894559232727,0.0,0.0,0.00022827467149848054,0.00016303904785196053,0.0,0.004992102009163098,0.0,0.0,0.0,0.0004480286738351254
M.gra,0.0,0.00012302813243294966,0.05241132109374174,0.0,0.0016595542911332385,0.04020734249582896,0.0,0.0,0.0062405376463202985,0.0,6.552435868033941e-05,0.03173470820529644,0.0,8.171603677221655e-05,0.012464517650784374,0.0,0.0053304904051172716,0.026893226655884887,0.0,0.0035453551078551077,0.9867210956931688,0.0,0.0016667158765064094,0.0857286381466792,0.0,0.0,0.0059751434034416824,0.0,1.6268627578577472e-05,0.06977685978329755,0.0,0.0,0.04278600138205226,0.0,0.0004218610775987825,0.02213082387717312,0.0,7.44047619047619e-05,0.00015262515262515263
