class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
A.bes(H),0.9192643943589383,0.003491159608059148,8.554960272903232e-05,0.04117486182219994,0.0006862778323787575,0.00010818998160770314,0.004701468120716546,7.722007722007723e-05,5.872680291284943e-05,0.08341031276693893,0.0035958872762643333,0.0,0.09902162378533423,0.006369146005509642,0.0006101281269066505,0.0521804959135834,0.0007942180922881423,3.085277057879798e-05,0.03335762076170606,9.25925925925926e-05,0.0,0.012224139855241203,0.0009526958931720835,6.916346785627831e-05,0.0013616557734204794,0.0002896546016658095,0.0,0.01203458538332601,0.0013309671694764862,1.5020427781783224e-05,0.006137462856377967,0.002661521059285381,0.0003984000254976016
A.bes(T),3.696912338814622e-06,0.9355198409333354,0.00021455093176404652,5.0784622416332335e-05,0.030811341155389544,0.0,1.2529915172474281e-05,0.0053589994137189755,0.0001157708894098579,0.0,0.05170881790529102,0.0003294350189425136,0.00123544915440369,0.10232653856228624,0.0009515765765765766,0.0,0.008494673772655094,6.587940774412439e-05,2.686438856651623e-05,0.005607390298603111,0.00012471419663271667,0.0,0.007101422644023423,0.000532087190084203,9.093492469451548e-05,0.0010109137422376264,0.0,0.0,0.001442659904198366,1.8634466308884912e-05,2.3573793965267415e-05,0.0011506736724689582,3.673499375505106e-05
A.bes,0.0,0.005352087756546357,0.9738532537127208,0.0,0.005043486057562987,0.013873987124299016,0.0,0.0,0.015237639446300931,0.0,0.0004479805038884708,0.15495341181713637,2.2508328081390114e-05,0.0001058765281639182,0.24469214708632356,0.0,0.00048647596808717644,0.00041866306926547893,0.0,0.0001614987080103359,0.03796846151510933,0.0,0.0,0.002719580983078163,0.0,7.258869431086107e-05,0.00031565656565656563,0.0,8.541533205210336e-05,0.03256660470879802,0.0,0.0,0.001142775516034569
A.bic(H),0.04976825309544171,0.0002930216544295296,0.0,0.877855499365272,0.006703601108033242,0.0,0.01263343837038469,0.0010678617157490397,5.965163445478406e-05,0.03172120038722168,0.002387338265200861,0.0,0.006864328840073339,0.0,0.0,0.07569769434506395,0.0023167848699763593,0.0,0.03581731364160477,0.00016711229946524066,0.0,0.02178069221198198,0.004314994606256742,0.0,0.004755940504018434,0.0026349376260858827,0.0,0.007003217856236621,0.0007776497695852535,0.0,0.003863829268731714,0.015331353180659056,2.920390164125927e-05
A.bic(T),0.0,0.040145937559003635,7.973464310773746e-06,0.0,0.9539259317723002,0.0,0.0,0.012407959367587333,0.00019947372888549358,0.0,0.01965744481660199,8.43454790823212e-06,9.329750709061053e-06,0.03465380949188917,0.0004017857142857142,0.0,0.041250247562644234,0.0,3.984381225595665e-05,0.013755240331843563,0.0,0.0,0.03663157576931538,0.0,0.0,0.007981729322722207,0.00010890576928312779,2.15526531316005e-05,0.010734802670286536,1.8420277040966695e-05,1.0034720131655527e-05,0.007938887253688458,4.546281142025823e-05
A.bic,0.0,0.002619058688610969,0.016546556878031724,0.0,0.0009507149376331001,0.9914529914529914,0.0,7.017543859649124e-05,0.08779412894193069,0.0,0.0003318951211417192,0.043720757177514884,0.0003232758620689655,0.00019858781994704325,0.008740920096852301,0.0,0.0003472222222222222,0.01687401611795215,0.0,0.0005296656732688064,0.06466462040687566,0.0,0.0005338672005338672,0.1470601446101965,0.0,3.0442327011476756e-05,0.017935540677197753,2.1766575247050628e-05,3.663003663003664e-05,0.08095920985982938,0.0,0.0,0.028219549258183162
A.fuj(H),0.029351484168481365,2.378870868942057e-05,0.0,0.033928393792171746,0.0,0.0,0.8487629265371036,0.0021872162530266344,8.707767328456984e-05,0.11554240988261173,0.0008648540469451352,0.0,0.014015199360026945,9.285913269570063e-06,1.0214504596527069e-05,0.03377564005109981,0.0,0.0,0.015274840142123125,0.0,0.0,0.015171891645496833,0.00012760391744026542,0.0,0.013144719354779982,0.0030741496275914423,4.29221392394197e-05,0.03348927552537807,0.00014168752910139823,0.0,0.012664440681803878,0.0015989340439706862,0.00013805909619612675
A.fuj(T),3.977795063998303e-05,0.028707275500134556,2.755200440832071e-05,0.00021610506021002687,0.05908660946040681,0.0,0.002139010609677494,0.7055438467190898,0.0018450921693625609,0.0,0.017135756546459414,1.4953941859074052e-05,0.0018234284900379718,0.0023907910271546637,8.108108108108108e-05,0.0003623349157756186,0.0005859428102594926,0.0,3.235984143677696e-05,0.000189771325552709,1.790670606142e-05,1.8361426315596193e-05,0.00618983810891778,1.6947141864524548e-05,6.730380939561179e-05,0.00542459637447058,0.0,3.0195971857354228e-05,0.0005463375151760421,0.0,2.0727106910417446e-05,0.005648455541518774,0.0001944138422655693
A.fuj,0.0,0.006916009077015718,0.09880210943279168,0.0,0.0007855459544383346,0.15091753321085727,0.0,0.0017818181818181822,0.8556970071268237,0.0,0.00041743421423637945,0.18358774571954262,0.00037526481511810354,0.00021196420160150728,0.09448401320186563,0.0,0.0005872680291284943,0.00034761449552446336,0.0,0.0003663460912228904,0.002840129841866893,1.7903820675332116e-05,0.001617041878479787,0.031116651903371498,1.443876519680037e-05,6.846735818698435e-05,0.00202020202020202,0.0,7.033924680983504e-05,0.00989324616573192,2.9619098394644868e-05,5.2369730295888974e-05,0.00690650937564765
B.xyl(H),0.10043638068585985,0.00011229595824387088,5.476651210339917e-05,0.060572323415738996,9.797389975310577e-06,0.0025952455102252678,0.031843630935530186,1.397624039133473e-05,0.00019071837253655438,0.8695991163062793,0.003212789472331457,0.0002385622647511,0.03188226722366889,0.0,7.281553398058252e-05,0.026311718545121203,0.0021464646464646464,2.34000234000234e-05,0.02079967572586775,0.00028696051423324155,0.0,0.0013914962289628828,0.0002990877822640945,2.0235132236589163e-05,0.0036411398073202734,0.008250783060429345,0.004138950480413895,0.04642478510640575,0.009809475114055126,0.0020686814600590128,0.0041123832083168835,0.006201073296100913,0.002922004944931445
