class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
B.xyl(T),0.0,0.0221006280671043,7.90680512360972e-05,0.0,0.03115416985023568,0.00016924769400016924,4.1468395898775646e-05,0.0165521278700071,2.623638987275351e-05,7.373271889400922e-06,0.9286166668374718,8.952872081363702e-06,0.002318720346742065,0.01712265001558545,0.0006428571428571428,3.216882197773918e-05,0.020864264684832788,2.7190168035238463e-05,7.833798138689562e-06,0.0010035324341682722,0.0,0.0,0.0035946603866033977,0.0,0.00029986506072267484,0.010714791897520263,0.00023839796567069293,6.134216660532449e-05,0.022788216271449065,1.6882766072393298e-05,3.5177958654040325e-05,0.0021575214632325495,0.0
B.xyl,0.0,0.002447858124141376,0.1727865047907195,0.0,3.8473376423514926e-05,0.03095644459016744,0.0,4.914004914004914e-05,0.035975744891238094,0.0,1.4430222658335617e-05,0.9897542719432334,0.0,0.00010017530678687704,0.1913787587583748,0.0,2.2311468094600625e-05,5.4932981762250064e-05,0.0,0.0,0.0013496794511303567,0.0,2.489048187972919e-05,0.0006940829429116779,0.0,0.0,0.018954018954018957,0.0,1.92789666473877e-05,0.089518966624435,0.0,0.0,0.003275500281488305
C.ele(H),0.007957013360734037,0.0007237984944991314,3.9935304806213936e-05,0.0007167203166860671,0.00021907004764773537,0.0,0.0021158946002369805,0.002216348507097406,0.0,0.008972015723086833,0.016742091160446757,1.0485697508598272e-05,0.9396098337700446,0.000796068796068796,0.0002617801047120419,0.0025738700710388135,0.00012135922330097087,0.0,0.0007530599837343645,2.2186723464678733e-05,0.0,1.363493816555542e-05,5.264681881597304e-05,2.2879630265174912e-05,0.0006483025058876453,0.004000016212409714,0.0003037052034824864,0.0013670539986329459,0.009991049337761416,0.0,4.221279469807298e-05,0.0008673769877389302,9.675858732462506e-05
C.ele(T),0.0,0.03946190667687159,0.00023871601740454196,0.0,0.017335697573680676,0.0004703177257525084,1.3132666193890684e-05,0.00141749723145072,0.00023031405388167762,0.0,0.016887783001325228,0.0,0.0015525354728395191,0.9331139516203251,0.008515816441216892,0.0,0.011185682326621926,0.0001221560543594442,0.0,0.005287896592244419,0.00010094127741186564,0.0,0.0026032851753003813,0.0,0.0,1.2216724696108971e-05,0.0,0.0,0.0002455763726255529,0.00016404199475065617,0.0,0.0,8.462384700008462e-05
C.ele,0.0,0.0021780642244898537,0.04475823116131699,0.0,0.0005893038872810908,0.023556783481169116,0.0,0.0,0.010958291401095829,0.0,0.0010515656644337124,0.1379474564522104,0.0004327343928449299,0.001787223731111174,0.9374004451571373,0.0,0.0019522935582020208,0.00375826712801986,0.0,0.0005480007084628394,0.0038827412152980002,0.0,0.0004950648225502026,0.0004698392792604494,0.0,2.5888627126103502e-05,0.02687165241853999,0.0,4.158868787689749e-05,0.08644784397270244,0.0,0.0,0.006477732793522268
M.ent(H),0.06198404887368118,0.00018414831822406052,0.0,0.09328384337137531,0.00021329920546045967,0.0,0.01187894853647375,0.00045167118337850043,0.0,0.05479819004524886,0.0025515973989256435,0.0,0.021715748390022487,1.321353065539112e-05,0.0,0.8108960630374916,0.000654196054380047,0.0,0.09832364263169854,5.885122410546139e-05,2.328722462856877e-05,0.10100152277185674,0.0007255495470983686,2.135930624973301e-05,0.002069078767701262,0.0010376582646467623,0.0,0.01311800425977367,0.0021199198811139106,0.0,0.012895481791183392,0.012368182468864822,0.0
M.ent(T),0.0,0.0037039202657459256,1.729266099467386e-05,0.0,0.06302306648226777,0.00022136137244050915,0.0,0.0004783258594917788,0.00014430014430014433,1.9656019656019657e-05,0.014319172738250632,1.9503822749258855e-05,0.0,0.03420829890570525,0.000588235294117647,1.4471361176232237e-05,0.9235273128509125,0.0002592520578132089,1.537326282130119e-05,0.05036603848980848,0.0,0.0,0.15107515984411313,0.0,0.0,0.0019216825148747247,0.0,0.0,0.010450734039544154,0.0,1.6588699777711422e-05,0.0048513887849067905,0.00020229606028422596
M.ent,0.0,0.0006351782910175203,0.0011811745290228898,0.0,0.0,0.046265822686472974,0.0,8e-05,0.0030742956585653215,0.0,0.0007784962048310015,0.00016366612111292964,0.0,2.990430622009569e-05,0.02113065326633165,0.0,0.00916030534351145,0.9897309848548239,0.0,0.0005555555555555556,0.054374839891779415,0.0,0.002372743113483854,0.14187893372380245,0.0,0.0,0.005507760769650229,0.0,0.00013605442176870748,0.015424745942662715,0.0,0.0,0.06890104585762874
M.gra(H),0.049589767842547774,6.621025729305985e-06,0.0,0.020518968435472372,0.0,0.0,0.010021869413780814,0.0005707625474352343,0.00017447951332248853,0.02671778487752929,0.0010508124256398232,0.0,0.0014536057498182992,0.0,0.0,0.07831571703086866,0.0,0.0,0.7740241992552314,0.00033068783068783067,0.0,0.12501145790902865,0.00046587467971115766,0.0,0.01815739506045599,0.0008002212957657426,3.2066698733365405e-05,0.018021442495126706,0.00027525461051472607,0.0,0.017760935331872185,0.003713170876498603,3.274715918394079e-05
M.gra(T),0.0,0.00996354171155719,2.396702137858307e-05,0.0,0.03440510643752221,5.225752508361204e-05,6.256557980695911e-05,0.00013468013468013467,0.00017120356103406952,0.0,0.007001771158088807,2.6783801157060212e-05,0.0,0.06215176491772236,0.0023903818953323903,0.0,0.14050330936246042,0.0001589825119236884,0.0001970055161544523,0.9117777556243424,0.0,0.0,0.06506020684864598,0.0,0.002380549921117872,0.00045343476837040583,0.00023907716215408525,0.0,0.0019154030327214687,4.395218002812939e-05,0.00011875544295780223,1.543448062972681e-05,7.7000077000077e-05
