class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
A.bes(H),0.9192196894902813,0.0014709153724276006,2.9221822857309838e-05,0.05077090358817235,0.00016524828554903743,5.432420686657975e-05,0.0070632187262856805,0.0009638554216867472,0.00021256997094877065,0.08672454866052932,0.000813646662636102,0.0,0.11783792395352238,0.00032373150105708244,0.00027047332832456797,0.037625477330791114,0.0001982710762154017,0.0,0.0355654701843011,3.8687712782420303e-05,0.0,0.012469870628166659,0.0005420593831585469,5.618293162537221e-05,0.00047283419773335106,5.9781200805053496e-05,0.0,0.011702882554846758,1.5587249629802823e-05,0.0,0.006793083560199923,0.0006213013094938302,0.0
A.bes(T),8.590002611360794e-05,0.912152807490302,0.000714044279195538,8.896896095374725e-05,0.03125292930888038,2.4862015812242056e-05,1.2044129691188514e-05,0.005754523376606863,0.0006053879527797396,5.232177894048398e-06,0.04387804144117754,0.0008557135334386521,0.000750590701558031,0.09533325525457584,0.0006855524079320114,9.224666758913334e-05,0.012162196104225522,0.0,0.00016011887225075895,0.005618621717692923,1.9092349695477022e-05,3.087332606168412e-05,0.00937778037550087,0.0003834233313097102,0.00033286524158735104,0.0007535242959257357,0.0,4.827699408124052e-06,0.0012626075805775444,2.4196670538133953e-05,8.330469734362146e-05,0.001055323731323193,0.00010784868829032866
A.bes,0.0,0.0013105816361301146,0.9737959764127309,0.0,3.399972800217598e-05,0.031992201347040054,0.0,0.0,0.025941719971570718,0.0,8.29737802854298e-05,0.17564737462968608,2.348961758902565e-05,5.2246603970741896e-05,0.24373222206601983,0.0,9.746588693957115e-05,0.000497429945282706,0.0,0.0,0.0335849207300028,0.0,0.0,0.001455427531837477,0.0,0.0,0.0015524093392945853,0.0,0.0,0.03177301255230125,0.0,0.0,0.002074330164217805
A.bic(H),0.0496377628921153,0.00023885350318471338,0.0,0.8636323178919072,0.003399012162090392,0.0,0.016716977867887776,0.0013551284300099193,4.612333379456667e-05,0.04053958944281526,0.0014961832061068704,0.0,0.05209853733265464,0.0,0.0,0.08109811581669339,0.0007338607957803004,0.0,0.04124281183320545,7.467144563918757e-05,0.0,0.025195247496425908,0.0020415066077166533,0.0,0.0007559650366170565,0.002115496718629534,0.0,0.004739888536458613,4.612014297244322e-05,0.0,0.006636996551395147,0.009650232852202137,0.0
A.bic(T),0.0,0.03164299270656347,3.5871865695734833e-05,0.0,0.9811862584942765,0.00017785682525566922,0.0,0.02630349073892966,0.0001044932079414838,0.0,0.024894861198785995,8.813368116759502e-06,9.807382997920834e-06,0.0011663670266499628,0.0002682403433476395,0.0,0.04376183275542807,0.0,0.00018582179689677597,0.006069126158261438,0.0,0.0,0.03456017072629775,5.9780009564801534e-05,2.149982800137599e-05,0.005808492011769699,0.0,3.4132022663663045e-05,0.006086279092414061,5.1440329218106995e-05,6.808278867102396e-05,0.008030599245922351,5.53801849698178e-05
A.bic,0.0,0.0010812819949652806,0.0241249446167479,0.0,0.002245614035087719,0.9809020857008031,0.0,0.0,0.13708414622542833,0.0,0.0004315809349122002,0.07217313467313467,0.0,0.0,0.008780487804878048,0.0,0.0005213424568263278,0.0038463510949279453,0.0,4.494786048184106e-05,0.06468005669666423,0.0,0.00038714672861014324,0.07251623977675296,0.0,2.7089259108763373e-05,0.023174131771549613,0.0,0.0,0.132669979928007,0.0,0.0,0.02761969739546818
A.fuj(H),0.048044502469205885,6.683553779215485e-06,0.0,0.03705857621492219,0.0,0.0,0.8553283095807377,0.0006923076923076924,0.00013468013468013467,0.13969326715873562,0.00035751559819479246,0.0,0.03032196689325125,0.0,0.0,0.039615287747992674,0.0,0.0,0.038712321717862874,6.28456510809452e-05,0.0,0.01980393960797874,4.4408917310595964e-05,0.0,0.01965232554001637,0.00030586236193712833,0.0,0.03518772802984109,1.0004001600640257e-05,0.0,0.014988669581356863,0.00016166354167319885,3.8968124074507054e-05
A.fuj(T),0.0007029889680433954,0.018024690975939922,8.398280032249396e-06,0.00022470092307139196,0.04194169304898517,3.0744635061181826e-05,0.0013902791680569459,0.7315692854706495,0.0022924339358566213,0.0,0.014877472284340412,1.0417534794566213e-05,0.003119687307087022,0.0011516968788333106,8.058017727639001e-06,0.0004763925176600195,0.0005275304978569074,0.0,0.0008183953059604076,0.0,0.0,7.090354754082862e-05,0.0043905397195443605,0.0,6.898772018580693e-05,0.003778302528764042,0.0,0.00020011705287208131,7.936507936507937e-05,2.0384866275277233e-05,2.3795926137445266e-05,0.0019830635652267124,0.0002321622039931899
A.fuj,9.334976289160225e-06,0.008352768169627515,0.11085690147617916,0.0,0.0015504377306084659,0.12278807781114622,0.0,0.00045133991537376586,0.8668662147189428,0.0,0.0001903110528430357,0.18391164325879508,5.7471264367816097e-05,2.085070892410342e-05,0.09870115231957739,7.552157084867367e-05,0.0014173228346456694,0.0007214124861183685,5.8775126366521683e-05,3.207595586348473e-05,0.007317212599325444,0.0,0.002621517343775972,0.013923441933356042,0.0,1.7733955204029153e-05,0.007782997144699271,1.5020427781783224e-05,0.0,0.027596785554363214,0.0,9.398496240601503e-05,0.01553887824862136
B.xyl(H),0.1139071633538873,6.663183261315052e-05,9.510336547034558e-05,0.0543786796279809,0.00024402623770107762,0.0013078524528906208,0.03754856199984158,0.0,9.521769144707087e-05,0.8983596082316981,0.0020083674969896045,0.0002526670409882089,0.04739447187081551,6.9502363080344725e-06,0.00017768301350390902,0.025208463184417367,0.0007953551260637874,0.0,0.02519311263544444,5.071660744827916e-05,1.387674673549533e-05,0.003636273685252066,8.455944529003889e-05,2.6039632320391633e-05,0.0032860789745260996,0.0070190138575572025,0.002215133794081162,0.04659308953874051,0.006744387008619535,0.0032871669004207573,0.007740683392649972,0.005734460776215106,0.0028742172815477947
